gene_name,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Z_10,Z_11,Z_12,Z_13,Z_14,Z_15,Z_16,Z_17,Z_18,Z_19
Vamp8,-0.2027352,0.08038105,0.029072834,-0.11006017,0.12460143,0.14502387,0.00701808,-0.18807594,-0.36339217,-0.09446376,-0.007604378,0.05787446,-0.1402089,0.47654766,0.10939131,0.08401099,-0.13392207,0.13344051,-0.06808117,-0.08997559
Capg,0.05325485,-0.68923545,-0.030046172,-0.11602368,0.25150588,0.017316021,-0.12041828,-0.030792674,-0.32486525,0.012611707,-0.017271537,-0.29335952,0.118934624,0.39289975,-0.20676722,0.046666697,0.19708447,0.19709608,0.06626551,-0.1294809
Tmsb10,0.117682755,-0.032503814,-0.07041379,-0.00090197043,0.22006913,0.20972452,0.03255416,-0.1326186,-0.23549576,-0.09449761,-0.042691126,-0.43880042,-0.031799752,0.24784872,0.023827793,0.07314732,0.17226297,0.07245996,-0.021339417,-0.08207735
Dqx1,-0.18829535,-0.22948712,-0.12665594,0.013249669,0.4592897,0.35312182,0.077512756,-0.015599353,-0.26918888,-0.083080046,-0.16731565,-0.51470643,-0.32578084,0.16698961,-0.16213663,-0.15684372,-0.06998315,-0.23934239,-0.23992695,-0.1758572
H1fx,0.28030244,-0.06222433,-0.04787591,0.043293968,0.28487802,0.20824215,0.016693411,-0.1387877,-0.19723584,-0.0012327941,0.04911986,-0.5668077,-0.011667537,0.12754615,-0.2600596,0.0142675545,0.15444429,0.015195031,-0.032231677,-0.06387861
Gata2,-0.04208642,-0.05352055,0.091047235,0.25272602,0.21207178,0.056498844,-0.2755597,-0.21595535,0.07342824,0.045219224,0.0534958,0.1509015,0.8131193,0.12503687,0.59137404,-0.55547804,-0.44470686,0.044637885,0.11018241,-0.53092974
Trh,0.039147418,-0.945484,-0.041232824,-0.4003391,-0.02522278,0.40338066,0.07843363,-0.31516123,-0.08849075,-0.18039235,0.102043875,-0.732288,-0.30903426,0.73256326,-0.5600553,0.03028625,-0.27693057,0.15450908,-0.09553928,-0.18478227
Foxp1,0.34046033,0.090859495,-0.07710461,-0.0608295,0.4968404,0.016658837,-0.04862658,-0.22099473,-0.39177865,-0.12707701,0.06943442,-0.6870693,-0.31722382,0.16581126,-0.38985312,0.113249525,-0.23486817,-0.039386496,-0.039747663,-0.060177565
Vgll4,0.39310104,0.1646687,0.10261879,-0.12436801,0.1759611,0.18235238,-0.031073172,-0.004748529,-0.14270692,-0.08677905,0.06895418,-0.30294892,-0.0509492,0.0029628796,-0.09987996,0.022973835,0.052746236,-0.056587983,-0.08512572,-0.20126377
Cxcl12,0.18824592,-0.0441512,0.0043840087,0.09988139,0.16598055,0.2028851,-0.12811682,-0.32459667,-0.64946085,0.18289128,-0.40904602,-0.79097456,0.093261965,0.51551354,-0.8886221,0.28822216,-0.47926188,-0.14782377,-0.15176271,-0.40084544
Wnt5b,0.19376206,-0.22927617,0.17811777,0.1175195,-0.088140935,0.4092814,0.019622147,0.030513253,-0.24263994,-0.094370335,-0.08152907,-0.72969043,-0.28072092,-0.3488443,-0.5578223,0.18015905,0.060598932,-0.20077394,-0.013072713,-0.33112302
Atp6v1e1,-0.09135269,-0.12400767,-0.040515427,0.0558888,0.20157486,0.23347652,-0.02729182,-0.06536816,-0.19491349,-0.0628554,0.0273941,-0.098615155,-0.11801976,0.28936917,0.08989463,0.14740708,-0.021902384,-0.0030229467,0.012046914,-0.028631309
Nanog,-0.42056495,-0.78065777,0.061032318,0.2882225,0.060922895,0.4791567,-0.11884418,-0.19236559,-0.15190737,0.13572359,-0.15817495,-1.0899711,0.029839188,0.29680756,-0.77506393,0.15626252,-0.30515456,0.47503823,0.025827112,-0.19656505
Slc2a3,-0.05004534,-0.0024208515,-0.18838659,0.025638103,0.0324457,0.3575564,-0.042447962,-0.07329186,-0.035926107,-0.10854374,0.036920726,0.22245634,0.008071704,0.4087384,-0.3869766,0.09657326,-0.08851476,-0.15270823,-0.0136541305,-0.19227025
Gapdh,-0.043910265,-0.059377085,-0.054685365,0.054653917,0.22948584,0.22453974,-0.03278956,-0.100935295,-0.20764895,-0.059195504,0.007192338,-0.27656,-0.09816653,0.29421243,0.048513662,0.12207271,0.10283117,0.01817887,-0.0053749806,-0.07870908
Cd9,-0.16062422,-0.17837177,-0.028592752,-0.24042249,0.16466379,0.18608418,-0.18805654,-0.094852135,-0.1048636,-0.034832664,-0.101825714,0.0625439,0.037659075,0.545298,-0.08270722,0.0065985224,0.16436271,0.17207678,0.0173647,-0.1454195
Ccnd2,-0.036535945,0.2890066,-0.11369082,0.075653866,0.14103876,0.23627082,-0.012733545,-0.13078968,-0.017186368,-0.116536476,0.04764932,-1.0063457,-0.016413722,-0.04908692,-0.11766644,0.010193429,-0.06219328,-0.3247492,-0.022844888,-0.24393348
Tspan9,0.36202627,0.14554413,-0.051150367,-0.18103799,0.2824495,0.071346894,0.038842056,-0.07322121,-0.09101197,-0.15888853,-0.0594366,0.4825679,0.088819966,0.13012671,-0.0633125,0.16188654,-0.05491515,-0.041374292,-0.09453342,0.021654395
Tulp3,-0.032891527,-0.10581713,-0.06154819,0.06261892,0.3125313,0.23624235,-0.026038775,-0.067355044,-0.2449345,-0.079697676,0.024624186,-0.3119398,-0.10880117,0.16324566,-0.083726086,0.062706344,0.008788691,0.06744317,-0.056503948,-0.09548949
Gabarapl1,-0.080223985,-0.2776466,0.09498847,-0.047237188,0.28392863,0.15194188,0.01708439,-0.056834534,-0.21343708,-0.048095837,0.018657878,0.099789076,-0.07795081,0.31752217,0.10805613,0.07128043,0.27455944,-0.03590466,0.057833854,-0.108383834
Hebp1,-0.5394266,0.33467302,0.0682932,-0.19064145,0.008070727,0.04125557,-0.058286447,0.047217086,-0.24663912,-0.057309765,-0.038750153,0.38339654,-0.19234253,0.29845017,0.24975918,0.27742755,0.057831705,0.09031428,-0.01908367,0.10624172
Eps8,-0.19457443,-0.33740136,-0.08589732,0.04253606,0.24455282,0.046668574,-0.1161212,0.0004326585,0.23036446,-0.17631568,0.11576963,0.26986143,-0.06145336,0.6893525,-0.03731227,0.04155228,-0.3164483,-0.18854956,-0.009288521,0.07798788
Mgst1,0.1551111,-0.17708643,0.138642,-0.06557079,-0.0031463942,0.15796131,-0.08713926,-0.18228163,-0.4833846,-0.24778064,-0.09116964,-0.8060336,-0.5172938,0.41815954,-0.65255946,0.18846308,0.10417945,-0.47437328,0.08890445,-0.06041267
Ldhb,0.17618436,-0.53107494,-0.08082115,0.12433562,0.21032006,0.1784988,-0.01398157,-0.13044856,-0.2935883,-0.061362717,0.041602444,-0.5077707,-0.04639796,0.2868155,-0.32513744,0.09539544,0.09609662,0.09984017,0.008881462,0.026263192
1700027J19Rik,0.1731959,-0.05135073,-0.06300573,-0.1990222,0.08269057,0.30308604,0.017853629,-0.09708706,-0.12670462,-0.16756393,-0.16563034,-0.709663,0.29511818,0.25399017,-0.20007786,-0.034044273,-0.08483337,0.048613917,-0.03925572,-0.28700072
Peg3,0.25543877,0.0017546726,-0.06461446,-0.07261186,0.3063147,0.10550922,-0.007268424,-0.1811101,-0.2225349,-0.018468058,0.045627374,-0.0042433455,-0.09637991,-0.16815542,-0.22521608,0.05178763,-0.14861523,0.17344245,-0.029483624,-0.14490412
Apoc1,-0.14070645,-0.66113603,-0.094302885,0.026955627,0.14070986,0.18496804,0.055962343,-0.1547089,-0.31892905,-0.161293,-0.014427414,0.58299476,-0.0603588,0.47095832,-0.0043269484,-0.106591865,-0.06782656,0.2177534,-0.05645527,0.011814093
Apoe,0.08949333,-0.23541719,-0.044088297,-0.019473232,0.2844316,0.21154581,-0.034234256,-0.16810903,-0.044791315,-0.018194202,0.06221357,0.09447891,-0.042639464,0.36384624,0.062571846,0.0005915217,-0.20884183,-0.001334326,-0.016243566,0.018213835
Nectin2,0.23826951,-0.120984614,-0.101521805,-0.12409323,0.25162226,0.1726572,-0.1269261,-0.16838017,-0.12312747,-0.037456222,0.07982317,-0.042735185,0.044597067,0.3208112,-0.16176511,0.048676763,-0.14118715,0.08973475,-0.05200938,-0.21444768
Bcam,0.27406147,-0.06742204,-0.17315486,-0.13323425,0.08974869,0.19522303,-0.05438864,-0.19536322,-0.24917391,-0.15017113,-0.052421562,-0.17537874,0.23228431,0.31000006,-0.6896477,0.17071979,-0.05174691,0.08243416,-0.040851686,-0.23238385
Tgfb1,-0.12122256,-0.07945751,0.14194058,-0.24703327,0.20552494,0.21536802,0.03686712,-0.058595866,-0.09240499,-0.12735528,-0.06840645,-0.5626951,0.03648149,-0.3207844,0.6374107,-0.034130946,-0.12439348,0.10702493,0.13328028,-0.39694875
Blvrb,-0.80520153,0.052864548,0.0267544,-0.09126068,0.10672474,0.2553319,0.00045686256,-0.10499103,-0.2860894,-0.12837669,-0.055967424,-0.28133455,-0.048636507,0.2729549,0.23218657,0.1420463,-0.038126945,0.18813144,0.018235562,-0.0044643967
Dll3,0.14916904,-0.6662062,0.12442484,0.05985981,0.21736518,0.014433931,-0.07752412,0.06257561,-0.21852729,-0.2931186,-0.018635515,-0.8698961,-0.37360826,-0.45995632,-0.22311458,-0.014736233,0.44969475,0.20025225,0.13429323,0.34615338
2200002D01Rik,0.033879388,-0.04383997,-0.14937624,-0.026055638,0.10659212,0.131638,0.039194714,-0.0704053,-0.22190072,-0.13003598,-0.102939464,0.40584233,0.0636931,0.25881234,0.016161608,0.06414753,0.05985843,0.04995938,-0.1063659,-0.04263823
Spint2,-0.028466105,-0.4349189,-0.08376309,0.038495466,0.06595226,0.21207277,-0.026234467,-0.049926065,-0.29639587,-0.058285065,-0.018398473,0.0105362395,-0.19175035,0.47107658,-0.42312557,0.07116946,-0.06440545,0.13982539,-0.0012966761,-0.21462941
